,file,index,rt,pacmanPos,pacman_dir,level_0_y,first_pos,next_eat_rwd_fill,dis
0,1-1-Omega-02-Aug-2019-1.csv,7.0,128.0,"(7, 27)",left,7613,"(13, 27)","(8, 24)",4.0
1,1-5-Omega-03-Jun-2019-1.csv,8.0,79.0,"(7, 27)",left,49165,"(13, 27)","(5, 12)",17.0
2,1-7-Omega-04-Jul-2019-1.csv,7.0,11.0,"(7, 27)",left,70703,"(10, 27)","(5, 30)",5.0
3,1-4-Omega-04-Jun-2019-1.csv,7.0,-36.0,"(7, 27)",left,78606,"(13, 27)","(13, 9)",24.0
4,1-3-Omega-05-Aug-2019-1.csv,7.0,136.0,"(7, 27)",left,85555,"(13, 27)","(8, 24)",4.0
5,1-5-Omega-05-Aug-2019-1.csv,7.0,52.0,"(7, 27)",left,87730,"(13, 27)","(5, 12)",17.0
6,1-4-Omega-06-Aug-2019-1.csv,8.0,-18.0,"(7, 27)",left,118112,"(10, 27)","(3, 30)",7.0
7,1-4-Omega-10-Jun-2019-1.csv,8.0,55.0,"(7, 27)",left,148995,"(13, 27)","(3, 5)",26.0
8,1-7-Omega-11-Jun-2019-1.csv,7.0,137.0,"(7, 27)",left,159915,"(13, 27)","(4, 30)",6.0
9,1-8-Omega-11-Jun-2019-1.csv,7.0,-28.0,"(7, 27)",left,161235,"(13, 27)",,
10,1-6-Omega-13-Aug-2019-1.csv,7.0,-18.0,"(7, 27)",left,181532,"(13, 27)",,
11,1-9-Omega-16-Jul-2019-1.csv,8.0,131.0,"(7, 27)",left,242191,"(13, 27)","(3, 9)",22.0
12,1-4-Omega-16-Jun-2019-1.csv,7.0,127.0,"(7, 27)",left,251340,"(13, 27)","(8, 24)",4.0
13,1-5-Omega-17-Jul-2019-1.csv,7.0,129.0,"(7, 27)",left,261143,"(13, 27)","(4, 24)",6.0
14,1-3-Omega-17-Jun-2019-1.csv,7.0,58.0,"(7, 27)",left,270194,"(13, 27)","(4, 12)",18.0
15,1-6-Omega-17-Jun-2019-1.csv,7.0,138.0,"(7, 27)",left,272642,"(13, 27)","(9, 9)",20.0
16,1-4-Omega-19-Jun-2019-3.csv,8.0,32.0,"(7, 27)",left,313366,"(13, 27)","(9, 9)",20.0
17,1-5-Omega-21-Jun-2019-1.csv,7.0,131.0,"(7, 27)",left,338109,"(13, 27)","(6, 12)",16.0
18,1-6-Omega-21-Jun-2019-1.csv,7.0,-4.0,"(7, 27)",left,339176,"(13, 27)","(6, 9)",19.0
19,1-3-Omega-25-Jun-2019-1.csv,7.0,134.0,"(7, 27)",left,391081,"(13, 27)","(7, 11)",16.0
20,1-4-Omega-26-Aug-2019-1.csv,7.0,51.0,"(7, 27)",left,401826,"(13, 27)","(7, 22)",5.0
21,1-6-Omega-26-Aug-2019-1.csv,7.0,65.0,"(7, 27)",left,404055,"(13, 27)","(7, 8)",19.0
22,1-2-Omega-28-May-2019-1.csv,7.0,34.0,"(7, 27)",left,441268,"(13, 27)","(7, 7)",20.0
23,1-3-Omega-29-Jul-2019-1.csv,13.0,41.0,"(7, 27)",left,462446,"(10, 27)","(7, 9)",18.0
24,1-4-Omega-31-Jul-2019-1.csv,7.0,74.0,"(7, 27)",left,496972,"(13, 27)","(6, 12)",16.0
25,1-5-Omega-31-Jul-2019-1.csv,7.0,60.0,"(7, 27)",left,498153,"(13, 27)","(6, 9)",19.0
26,10-5-Omega-01-Aug-2019-2.csv,7.0,21.0,"(7, 27)",left,508667,"(13, 27)",,
27,10-4-Omega-02-Aug-2019-1.csv,8.0,103.0,"(7, 27)",left,527639,"(13, 27)",,
28,10-4-Omega-02-Jun-2019-2.csv,8.0,12.0,"(7, 27)",left,544053,"(13, 27)","(7, 13)",14.0
29,10-4-Omega-03-Jun-2019-1.csv,8.0,81.0,"(7, 27)",left,564208,"(13, 27)",,
30,10-4-Omega-04-Jul-2019-1.csv,8.0,2.0,"(7, 27)",left,584184,"(13, 27)","(7, 23)",4.0
